书名,作者,国家/地区,完读月份,主题分类,笔记
《苏东坡传》,林语堂,中国,2023年7月,传记,
《你当像鸟飞往你的山》,塔拉·韦斯特弗,美国,2022年10月,传记 / 自助成长,
《奥兹国的魔法师（绿野仙踪）》,弗兰克·鲍姆,美国,2026年1月,儿童文学,
《安徒生童话（含皇帝的新装等）》,安徒生,丹麦,2022年12月,儿童文学,
《格林童话（含白雪公主等）》,格林兄弟,德国,2022年12月,儿童文学,
《101只斑点狗》,多迪·史密斯,英国,2022年8月,儿童文学,
《柳林风声》,肯尼斯·格雷厄姆,英国,2023年4月,儿童文学,
《彼得·潘》,詹姆斯·马修·巴里,苏格兰（英国）,2023年4月,儿童文学,
《绿山墙的安妮》,露西·莫德·蒙哥马利,加拿大,2023年3月,儿童文学 / 成长小说,
《爱丽丝梦游仙境》,刘易斯·卡罗尔,英国,2022年5月,儿童文学 / 奇幻小说,
《王尔德童话（含快乐王子等）》,奥斯卡·王尔德,英国,2022年9月,儿童文学 / 寓言,
《一千零一夜（含阿拉丁、阿里巴巴等）》,集体创作 / 阿拉伯民间,阿拉伯,2022年12月,儿童文学/民间故事,
《红楼梦》,曹雪芹,中国（清）,2022年12月,古典文学,
《西游记》,吴承恩,中国（明）,2022年12月,古典文学,
《水浒传》,施耐庵,中国（明）,2022年12月,古典文学,
《三国演义》,罗贯中,中国（明）,2022年12月,古典文学,
《增广贤文》,集体增补,中国（明）,2023年1月,古典文学 / 格言集,
《诗经》,集体创作,中国（先秦）,2022年12月,古典文学 / 诗歌,
《古文观止》,吴楚材、吴调侯编,中国（清）,2022年12月,古典文学 / 文选,
《西厢记》,王实甫,中国（元）,2022年11月,古典文学 / 戏剧,
《子不语》,袁枚,中国,2024年7月,古典文学 / 志怪小说,
《活了一百万次的猫》,佐野洋子,日本,2023年5月,绘本 / 生命教育,
《小狗钱钱》,博多·舍费尔,德国,2022年9月,经济与商业 / 儿童理财,
《人类群星闪耀时》,斯蒂芬·茨威格,奥地利,2024年5月,历史 / 传记散文,
《论中国》,亨利·基辛格,美国,2023年4月,历史 / 国际关系,
《给青年的十二封信》,朱光潜,中国,2022年8月,美学 / 青年教育,
《美的历程》,李泽厚,中国,2024年11月,美学 / 艺术史,
《谈美》,朱光潜,中国,2024年1月,美学 / 哲学,
《我与地坛》,史铁生,中国,2023年3月,散文随笔,
《人生最美是清欢》,林清玄,中国,2022年5月,散文随笔,
《持续做一个深情的人》,林清玄,中国,2023年6月,散文随笔,
《换个角度看生活》,林清玄,中国,2022年5月,散文随笔,
《商市街》,萧红,中国,2023年8月,散文随笔,
《浮生六记》,沈复,中国（清）,2022年7月,散文随笔 / 古典回忆录,
《我们仨》,杨绛,中国,2022年12月,散文随笔 / 回忆录,
《干校六记》,杨绛,中国,2023年10月,散文随笔 / 回忆录,
《秋园》,杨本芬,中国,2023年7月,散文随笔 / 家族史,
《浮木》,杨本芬,中国,2023年7月,散文随笔 / 家族史,
《愿有人陪你颠沛流离》,卢思浩,中国,2023年8月,散文随笔 / 青年成长,
《谁的青春不迷茫》,刘同,中国,2023年8月,散文随笔 / 青年成长,
《等一朵花开》,林帝浣,中国,2023年7月,散文随笔 / 生活美学,
《带壳的牡蛎是大人的心脏》,王曼霓,中国,2024年5月,散文随笔 / 心理成长（绘本）,
《肉食者不鄙》,汪曾祺,中国,2023年1月,散文随笔 / 饮食文化,
《读书是件好玩的事》,陈平原,中国,2023年9月,散文随笔 / 阅读文化,
《病隙碎笔》,史铁生,中国,2023年3月,散文随笔 / 哲思,
《金榜题名：大学生出路分化之谜》,郑雅君,中国,2025年2月,社会学 / 教育研究,
《威尼斯商人》,莎士比亚,英国,2022年8月,戏剧 / 古典文学（英）,
《卡夫卡中短篇小说集》,弗兰茨·卡夫卡,奥地利,2023年9月,小说（奥） / 现代主义,
《安娜·卡列尼娜》,列夫·托尔斯泰,俄国,2024年4月,小说（俄）,
《白夜》,陀思妥耶夫斯基,俄国,2024年7月,小说（俄）,
《带小狗的女人》,契诃夫,俄国,2025年7月,小说（俄） / 短篇,
《包法利夫人》,福楼拜,法国,2023年7月,小说（法）,
《红与黑》,司汤达,法国,2024年1月,小说（法）,
《巴黎圣母院》,雨果,法国,2024年2月,小说（法）,
《悲惨世界》,雨果,法国,2024年2月,小说（法）,
《茶花女》,小仲马,法国,2024年3月,小说（法）,
《基督山伯爵》,大仲马,法国,2024年7月,小说（法）,
《高老头》,巴尔扎克,法国,2024年8月,小说（法）,
《老实人》,伏尔泰,法国,2024年8月,小说（法） / 哲理小说,
《围城》,钱锺书,中国,2022年6月,小说（近现代）,
《城南旧事》,林海音,中国,2022年6月,小说（近现代）,
《活着》,余华,中国,2022年11月,小说（近现代）,
《我不是潘金莲》,刘震云,中国,2022年7月,小说（近现代）,
《一句顶一万句》,刘震云,中国,2022年7月,小说（近现代）,
《望江南》,王旭烽,中国,2022年12月,小说（近现代）,
《人生海海》,麦家,中国,2022年3月,小说（近现代）,
《呼兰河传》,萧红,中国,2023年8月,小说（近现代）,
《马伯乐》,萧红,中国,2023年8月,小说（近现代）,
《生死场》,萧红,中国,2023年8月,小说（近现代）,
《长安的荔枝》,马伯庸,中国,2022年11月,小说（近现代） / 历史小说,
《我本芬芳》,杨本芬,中国,2023年7月,小说（近现代） / 女性叙事,
《太白金星有点烦》,马伯庸,中国,2023年9月,小说（近现代） / 职场寓言,
《飘》,玛格丽特·米切尔,美国,2023年1月,小说（美）,
《蝲蛄吟唱的地方》,迪莉娅·欧文斯,美国,2023年1月,小说（美）,
《老人与海》,欧内斯特·海明威,美国,2022年8月,小说（美）,
《乞力马扎罗的雪》,欧内斯特·海明威,美国,2022年8月,小说（美）,
《了不起的盖茨比》,F. 斯科特·菲茨杰拉德,美国,2024年1月,小说（美）,
《长腿叔叔》,简·韦伯斯特,美国,2023年5月,小说（美） / 成长书信体,
《麦琪的礼物》,欧·亨利,美国,2024年5月,小说（美） / 短篇,
《杀死一只知更鸟》,哈珀·李,美国,2022年10月,小说（美） / 社会议题,
《山月记》,中岛敦,日本,2023年3月,小说（日） / 哲思小说,
《银汤匙》,中勘助,日本,2023年5月,小说（日） / 自传体,
《一个叫欧维的男人决定去死》,弗雷德里克·巴克曼,瑞典,2024年10月,小说（瑞典） / 治愈文学,
《月亮与六便士》,毛姆,英国,2022年11月,小说（英）,
《爱玛》,简·奥斯丁,英国,2023年8月,小说（英）,
《傲慢与偏见》,简·奥斯丁,英国,2023年9月,小说（英）,
《呼啸山庄》,艾米莉·勃朗特,英国,2024年1月,小说（英）,
《终结的感觉》,朱利安·巴恩斯,英国,2025年3月,小说（英）,
《1984》,乔治·奥威尔,英国,2023年10月,小说（英） / 反乌托邦,
《动物农场》,乔治·奥威尔,英国,2023年10月,小说（英） / 政治寓言,
《自卑与超越》,阿尔弗雷德·阿德勒,奥地利,2022年10月,心理学 / 个体心理学,
《我是一个年轻人，我得了躁郁症》,李俊杰,中国,2025年3月,心理学 / 精神健康纪实,
《蛤蟆先生去看心理医生》,罗伯特·戴博德,英国,2024年5月,心理学 / 入门治疗,
《亲密关系》,罗兰·米勒,美国,2024年7月,心理学 / 社会学,
《被讨厌的勇气》,岸见一郎、古贺史健,日本,2022年8月,心理学 / 哲学（阿德勒学派）,
《沉默的大多数》,王小波,中国,2022年9月,杂文 / 社会评论,
《人生的智慧》,叔本华,德国,2024年1月,哲学与思想,
《菜根谭》,洪应明,中国（明）,2022年1月,哲学与思想 / 处世智慧,
《罗素论幸福》,伯特兰·罗素,英国,2024年7月,哲学与思想 / 伦理学,
《了凡四训》,袁了凡,中国,2025年3月,哲学与思想 / 劝善书,
《如何才能合理痛快地生活》,梁漱溟,中国,2024年8月,哲学与思想 / 人生观,
《走在人生边上》,杨绛,中国,2024年3月,哲学与思想 / 散文,
《好的孤独》,陈果,中国,2024年8月,哲学与思想 / 生命教育,
《中国文化要义》,梁漱溟,中国,2024年6月,哲学与思想 / 文化研究,
《小王子》,安托万·德·圣-埃克苏佩里,法国,2024年7月,哲学与思想 / 寓言小说,
《洛克菲勒写给儿子的38封信》,约翰·D·洛克菲勒,美国,2025年2月,自助成长 / 商业智慧,
